#,Champion,Games,Wins,Losses,Winrate,Kill,Death,Assist,KDA,Gold,CS,Double Kill,Triple Kill,Quadra Kill,Penta Kill,Max Kills,Max Deaths,Average Damage Dealt,Average Damage Taken
44,Jinx,19,13,6,68.42,9.61,5.71,9.52,3.35,12220.6,140.2,13,3,0,0,18,15,92183.4,14379.4
45,Kayle,19,9,10,47.37,6.07,7.43,9.08,2.04,12065.33,155.97,11,2,0,0,15,14,127137.67,28325.67
46,Jax,19,8,11,42.11,6.37,7.59,7.26,1.8,12949.0,142.0,4,2,0,0,14,14,159939.17,34756.67
47,Shyvana,19,8,11,42.11,5.26,4.84,10.79,3.32,11642.4,57.9,2,0,0,0,12,14,101134.2,29790.2
48,Fiora,18,10,8,55.56,8.14,9.49,9.42,1.85,10692.33,151.03,20,1,0,0,18,17,120434.67,29716.67
49,Lucian,17,13,4,76.47,10.34,4.86,8.48,3.87,13831.75,176.5,21,3,0,0,18,9,170640.75,23220.0
50,Vayne,17,12,5,70.59,7.16,5.99,7.51,2.45,11789.33,163.77,11,3,0,0,21,12,115433.67,19868.0
51,Xin Zhao,17,6,11,35.29,6.37,7.15,7.12,1.89,10818.8,57.94,2,1,0,0,12,14,128548.2,34777.8
52,Draven,15,7,8,46.67,8.84,6.15,6.44,2.49,12234.75,155.85,15,3,1,0,16,12,122983.5,20171.75
53,Aatrox,15,6,9,40.0,5.23,7.47,7.37,1.69,9361.75,122.72,3,1,0,0,12,14,107053.5,28018.25
54,Lux,14,9,5,64.29,4.94,7.93,11.15,2.03,11122.25,73.47,3,1,0,0,20,14,75925.75,19737.25
55,Skarner,14,7,7,50.0,4.46,6.96,9.94,2.07,9769.67,92.37,1,0,0,0,14,14,98443.33,28471.33
56,Lissandra,13,10,3,76.92,8.71,9.32,12.31,2.26,12517.33,148.6,9,1,0,0,20,17,131797.0,22174.0
57,Vel'Koz,13,8,5,61.54,5.0,6.23,8.11,2.1,10649.33,104.07,2,1,0,0,13,21,86616.67,14690.33
58,Trundle,13,6,7,46.15,5.34,7.4,10.34,2.12,10016.0,90.7,5,0,0,0,15,12,104200.0,32828.0
59,Fizz,13,5,8,38.46,9.25,7.31,5.38,2.0,11556.8,124.24,5,1,0,0,19,12,96321.6,22143.6
60,Udyr,13,5,8,38.46,4.28,6.42,8.41,1.98,10327.67,99.87,5,0,0,0,15,18,90833.0,32211.0
61,Malphite,13,4,9,30.77,4.15,6.92,10.71,2.15,8631.25,58.82,4,1,0,0,10,16,74103.5,24824.5
62,LeBlanc,12,7,5,58.33,10.49,5.32,7.91,3.46,12794.25,148.75,10,0,0,0,22,12,116536.5,23452.0
63,Malzahar,12,7,5,58.33,6.73,9.22,10.81,1.9,13232.75,138.98,6,2,0,0,12,19,134363.5,29887.75
64,Orianna,12,6,6,50.0,6.5,4.33,10.08,3.83,12132.33,186.3,5,0,0,0,15,9,128659.0,14520.0
65,Caitlyn,12,5,7,41.67,7.77,6.35,7.15,2.35,13322.0,211.5,7,2,1,0,28,13,168185.0,19416.5
