#,Champion,Games,Wins,Losses,Winrate,Kill,Death,Assist,KDA,Gold,CS,Double Kill,Triple Kill,Quadra Kill,Penta Kill,Max Kills,Max Deaths,Average Damage Dealt,Average Damage Taken
45,Aurelion Sol,76,38,38,50.0,6.15,4.34,7.16,3.07,11495.2,212.16,32,6,1,0,17,13,138018.2,20874.0
46,Neeko,73,40,33,54.79,5.03,4.2,6.45,2.73,11501.6,175.46,12,2,1,0,15,10,123318.0,17268.0
47,Viego,73,38,35,52.05,6.88,5.08,6.96,2.73,11885.67,160.23,56,11,2,0,18,14,141077.0,32578.0
48,Qiyana,72,38,34,52.78,6.4,4.35,5.77,2.8,12021.0,192.82,22,3,0,0,19,11,136664.8,19975.4
49,Pantheon,70,36,34,51.43,5.78,4.16,6.7,3.0,11336.0,175.89,21,1,0,0,15,9,117036.12,20917.38
50,Annie,68,43,25,63.24,4.92,3.74,7.3,3.27,10828.17,177.75,21,5,0,0,15,10,106194.5,14699.17
51,Vex,65,32,33,49.23,5.78,4.05,6.79,3.1,10599.0,185.2,28,5,2,0,18,10,114124.67,14899.0
52,Malzahar,63,40,23,63.49,4.97,3.9,8.52,3.46,11364.5,214.79,15,2,0,0,17,9,146484.5,14870.12
53,Jax,63,32,31,50.79,5.72,5.41,4.86,1.96,11808.5,187.69,11,2,0,0,19,13,138823.38,27645.25
54,Kai'Sa,61,28,33,45.9,5.83,3.81,4.79,2.79,10696.83,202.43,21,4,0,0,16,10,119961.83,13780.17
55,Kennen,58,35,23,60.34,5.38,4.64,5.74,2.39,10591.4,174.36,14,4,2,0,16,10,100524.6,17007.8
56,Kalista,57,26,31,45.61,4.37,4.72,5.72,2.14,10791.43,199.41,7,1,0,0,13,11,120920.86,16862.43
57,Lissandra,56,34,22,60.71,4.62,3.86,8.57,3.42,11309.0,216.03,5,2,0,0,18,11,141898.5,17861.5
58,Xerath,56,34,22,60.71,6.93,3.98,9.54,4.14,11050.8,171.41,16,3,0,0,24,10,138548.3,12793.4
59,Bard,53,28,25,52.83,1.73,4.39,12.46,3.23,7218.5,17.87,3,0,0,0,6,12,16872.17,14433.83
60,Nocturne,51,29,22,56.86,5.26,4.5,5.83,2.46,10363.71,166.29,7,1,0,0,14,11,135051.29,21566.43
61,Nunu & Willump,51,26,25,50.98,5.08,5.11,9.35,2.82,9185.5,113.35,12,4,1,1,14,13,110073.0,28269.38
62,Elise,50,24,26,48.0,5.37,4.83,6.78,2.52,9972.86,85.86,5,0,0,0,13,11,132023.0,22700.0
63,Anivia,49,26,23,53.06,5.12,3.41,6.38,3.37,11367.8,193.78,5,2,0,0,12,7,149424.6,21998.0
64,Varus,47,26,21,55.32,5.86,4.19,6.46,2.94,11716.29,220.5,16,1,1,0,13,10,140476.0,13613.86
65,Master Yi,47,25,22,53.19,8.68,5.97,5.21,2.33,11227.57,159.33,29,8,3,0,26,13,155325.29,26304.86
66,Alistar,46,21,25,45.65,1.82,4.86,12.46,2.94,8294.89,44.12,1,0,0,0,8,11,27075.33,25267.89
67,Talon,46,19,27,41.3,7.29,5.58,6.07,2.39,12248.8,216.52,13,1,0,0,18,13,140464.0,22683.0
68,Tryndamere,46,17,29,36.96,5.29,5.81,4.11,1.62,11248.6,201.88,8,1,0,0,12,13,152334.4,29731.2
69,Kled,45,27,18,60.0,5.62,3.42,7.4,3.81,11595.6,190.16,17,1,0,0,15,8,118241.2,29679.6
70,Veigar,42,24,18,57.14,6.53,3.33,6.4,3.88,11955.57,221.26,12,2,0,0,15,10,175041.29,15314.86
71,Jarvan IV,40,23,17,57.5,5.3,4.77,11.14,3.45,10794.89,134.2,7,1,0,0,10,13,138742.56,26068.11
72,Morgana,40,23,17,57.5,4.44,4.2,10.43,3.54,10945.75,150.98,7,1,0,0,21,10,103040.25,18701.38
73,Olaf,40,16,24,40.0,5.74,4.64,5.72,2.47,10651.43,171.04,6,1,0,0,12,9,140918.14,28112.14
74,K'Sante,38,20,18,52.63,3.1,4.1,5.51,2.1,10870.0,219.05,7,0,0,0,8,9,125245.5,24410.0
75,Karma,38,15,23,39.47,2.92,5.06,8.31,2.22,9221.5,141.83,2,0,0,0,9,10,94587.6,14776.0
76,Evelynn,38,12,26,31.58,6.1,5.68,7.35,2.37,10592.14,83.09,9,0,0,0,16,11,129815.29,25868.0
77,Leona,37,22,15,59.46,2.11,5.03,14.11,3.23,8579.5,42.55,3,0,0,0,7,11,25761.67,23208.67
78,Twitch,37,16,21,43.24,7.28,5.41,5.91,2.44,10465.83,131.15,12,1,0,0,19,11,97001.67,16979.17
79,Graves,35,19,16,54.29,6.59,4.03,6.31,3.21,11845.0,156.58,17,1,0,0,18,9,174984.33,23035.0
80,Jhin,35,17,18,48.57,5.42,4.6,7.26,2.76,11404.2,205.7,17,2,0,0,16,11,131301.6,14038.2
81,Pyke,34,15,19,44.12,5.05,4.56,7.52,2.75,8809.25,56.38,6,2,0,0,13,13,29695.25,15425.0
82,Zilean,33,30,3,90.91,5.07,2.91,10.32,5.28,11921.0,213.02,8,3,0,0,13,8,151329.6,18137.6
83,Quinn,33,16,17,48.48,5.22,5.79,6.55,2.03,9686.43,167.97,7,1,0,0,15,12,94276.14,16591.86
84,Rek'Sai,33,13,20,39.39,3.64,4.07,4.57,2.02,9267.71,112.01,2,0,0,0,9,13,124438.57,24815.0
85,Sion,32,17,15,53.12,4.54,4.07,7.9,3.05,12476.44,216.01,4,1,1,0,20,8,154525.67,34201.11
86,Ziggs,32,14,18,43.75,6.16,4.34,8.03,3.27,12804.2,246.7,15,1,0,0,15,8,225166.2,15091.6
87,Zac,31,16,15,51.61,4.28,3.75,9.46,3.66,8767.0,93.67,4,2,0,0,14,11,95980.0,25112.67
88,Kha'Zix,30,16,14,53.33,7.02,4.18,5.68,3.03,10983.33,105.03,4,2,0,0,15,11,150856.33,29109.17
89,Darius,30,13,17,43.33,7.3,5.05,5.23,2.48,11426.2,204.74,19,6,3,2,22,11,123275.8,28706.2
90,Nautilus,30,13,17,43.33,2.42,4.36,10.22,2.9,8695.25,96.72,2,0,0,0,11,11,60050.75,17868.25
91,Caitlyn,30,11,19,36.67,4.19,5.06,5.74,1.96,11264.67,210.08,1,0,0,0,10,11,139991.17,16903.17
92,Vel'Koz,29,15,14,51.72,6.02,4.18,8.01,3.36,12397.5,192.98,6,1,1,0,16,8,139468.0,15409.0
93,Rakan,29,9,20,31.03,1.58,4.24,11.0,2.97,6705.71,26.97,0,0,0,0,4,9,15358.14,14037.71
94,Kog'Maw,28,11,17,39.29,5.72,5.82,6.45,2.09,12468.17,228.13,11,1,0,0,17,13,154001.83,19991.0
95,Rengar,28,9,19,32.14,4.6,5.76,6.42,1.91,11251.17,140.42,2,1,0,0,9,15,152207.0,33106.67
96,Braum,27,15,12,55.56,1.32,3.6,14.47,4.38,8494.4,49.28,1,0,0,0,3,8,29645.4,21605.4
97,Xayah,27,13,14,48.15,5.7,4.18,5.44,2.66,11568.0,217.9,6,1,0,0,11,10,140997.0,15153.25
